Year,Site,Plot #,Azimuth,Conifer/Hardwood,dbh (cm),Decay class (I.IV),Notes,,
2019,old,19.2,270,conifer,10,4,,,
2019,old,19.2,270,conifer,10,4,,,
2019,old,19.2,270,conifer,16.5,4,,,
2019,old,19.2,270,conifer,20,4,,,
2019,new,19.1,,,0,,there were no CWD intersecting the transect for the new growth forest,,
2009,O,9.2,N,Conifer,18.5,I,,,
2009,O,9.3,S,Conifer,24,I,,,
2009,O,9.1,.,Conifer,22,III,,,
2009,O,9.2,S,Conifer,10,III,,,
2009,O,9.2,S,Hardwood,11,III,,,
2009,O,9.1,.,Conifer,16.75,IV,,,
2009,S,9.1,.,U,12.5,IV,,,
2011,O,11.1,90,Conifer,26,II,,,
2011,O,11.1,90,Conifer,26.5,IV,,,
2011,O,11.1,90,Conifer,16.5,IV,,,
2011,O,11.1,90,Conifer,13,II,,,
2011,S,11.1,90,Conifer,17.2,III,,,
2011,S,11.1,270,U,0,IV,,,
2011,S,11.3,12,Hardwood,12,IV,,,
2011,O,11.3,270,Hardwood,27.2,IV,,,
2011,O,11.3,270,Hardwood,26.4,IV,,,
2011,O,11.3,270,Hardwood,12,IV,,,
2017,O,17.1,150 SE,Hardwood,14,2,,,
2017,O,17.2,240 SW,U,,,,,
2017,S,17.1,90 E,Conifer,23,4,,,
2017,S,17.2,170 SE,U,10,4,,,
2017,S,17.2,170 SE,Conifer,46,1,,,
2017,O,17.3,90,Hardwood,4.5,3,,,
2017,O,17.3,90,Hardwood,10,2,,,
2017,O,17.3,90,Hardwood,4.5,1,,,
2017,O,17.3,90,Hardwood,8.5,1,,,
2017,O,17.3,90,Conifer,6.5,4,,,
2017,O,17.3,270,Hardwood,15,3,,,
2017,O,17.3,270,Hardwood,6,1,,,
2017,O,17.3,270,Conifer,5,2,,,
2017,O,17.3,270,Hardwood,6.5,3,,,
2017,O,17.4,93,Confier,5.5,I,,,
2017,O,17.4,319,conifer,4.5,II,,,
2017,O,17.4,58,conifer,4.25,I,,,
2017,O,17.4,159,conifer,3,I,,,
2017,O,17.4,49,conifer,6,III,,,
2017,O,17.4,254,conifer,37.5,III,,,
2017,S,17.5,340,Conifer,45,I,,,
2017,S,17.5,240,conifer,30,IV,,,
2020,old forest,20.1,nw,hardwood,29,2,,,
2020,old forest,20.1,w,hardwood,20,4,,,
2020,old forest,20.2,nw,conifer,16.3,2,,,
2020,old forest,20.2,nw,conifer,34.4,1,,,
2020,old forest,20.2,w,hardwood,17,4,,,
2020,old forest,20.3,w,Conifer ,13,2,,,
2020,old forest,20.3,w,Conifer ,18,2,,,
2020,old forest,20.3,w,Conifer ,13,3,,,
2020,old forest,20.3,w,Conifer ,10,3,,,
2020,old forest,20.3,w,Conifer ,15.7,2,,,
2020,old forest,20.3,w,Conifer ,10,2,,,
2020,old forest,20.4,,,0,,no dead debris,,
2020,second growth,20.5,,,0,,no dead debris,,
2020,second growth,20.6,,,0,,no dead debris,,
